name,address,city,postal_code,geometry
Franco Ristorante,Bridge Street,Phoenixville,19460,POINT (-75.5172339 40.1337608)
Girasole,Pine Street,,19102,POINT (-75.1654742 39.9455278)
Skippack Village Italian Market,Skippack Pike,,19474,POINT (-75.4042816 40.2276616)
Cafe Antonio's,"East Trenton Avenue Morrisville, PA 19067",,,POINT (-74.7806608 40.217434)
Shef's Pizza,Sheffield Avenue,,,POINT (-75.0318147 40.0365975)
Ron's Original Bar & Grille,East Uwchlan Avenue,Exton,19341,POINT (-75.654135 40.0590047)
Melograno,Sansom Street,Philadelphia,19103,POINT (-75.1741414 39.9512797)
Franconi's Ristorante,,,,POINT (-75.2579059 40.2286799)
Little Anthony's,East Lincoln Highway,Coatesville,19320,POINT (-75.7887481 39.9892646)
Vetri Cucina,Spruce Street,,,POINT (-75.163189 39.9467368)
Osteria,North Broad Street,,,POINT (-75.1611073 39.964982)
Alla Spina,Mount Vernon Street,,,POINT (-75.1615233 39.9644178)
Ralph's,South 9th Street,Philadelphia,19147,POINT (-75.1576476 39.940255)
Maggiano's,Filbert Street,,,POINT (-75.1598822 39.9531112)
Sotto,South 24th Street,Philadelphia,19103,POINT (-75.1793805 39.9513778)
Ambrosia,S 24th St,Philadelphia,19103,POINT (-75.1796671 39.9500093)
Cucina Forte,South 8th Street,Philadelphia,19147,POINT (-75.1561811 39.9397655)
O Sole Mio Restaurant,South 8th Street,Philadelphia,19147,POINT (-75.1564779 39.9388697)
Mr. Martino's Trattoria,East Passyunk Avenue,Philadelphia,19148,POINT (-75.1646756 39.9290161)
Chiarella's,,,,POINT (-75.1632687 39.9297279)
Le Virtu,East Passyunk Avenue,Philadelphia,19148,POINT (-75.1678021 39.9259892)
Tre Scalini,East Passyunk Avenue,Philadelphia,19148,POINT (-75.1675615 39.926243)
Noir,East Passyunk Avenue,Philadelphia,19148,POINT (-75.1674991 39.9262992)
Cry Baby Pasta,South 3rd Street,Philadelphia,,POINT (-75.1476433 39.9406306)
Quick Fixx,South Street,Philadelphia,19146,POINT (-75.1675414 39.9439783)
dolce Zola,East Gay Street,West Chester,19380,POINT (-75.6028895 39.9613622)
teca,East Gay Street,West Chester,19380,POINT (-75.6041271 39.9608542)
From The Boot,,,,POINT (-75.3017999 40.1551648)
Gran Caffe L'Aquila,Chestnut Street,Philadelphia,19103,POINT (-75.1694699 39.9514573)
Francoluigi's Italian Restaurant & High Note Cafe,South 13th Street,Philadelphia,19147,POINT (-75.1660779 39.9302881)
Bacco Italian,,,,POINT (-75.2472119 40.218437)
Oaks Italian Deli,,,,POINT (-75.4508021 40.1351995)
LaScala's,,,19106,POINT (-75.152127 39.9495012)
Pizza Plaza,West Street Road,Warminster,18974,POINT (-75.1038281 40.2069795)
Spasso Italian Grill,West State Street,Media,19063,POINT (-75.3896379 39.9181692)
Ariano,South Olive Street,Media,19063,POINT (-75.3912629 39.9177439)
Francisco's on the River,River Road,Washington Crossing,18977,POINT (-74.8956853 40.3135926)
La Verona,East State Street,Kennett Square,19348,POINT (-75.7110693 39.8467464)
Arugula Ristorante,Wilmington W Chester Pike,,,POINT (-75.5391081 39.8540954)
mercato,West Market Street,West Chester,19382,POINT (-75.6054537 39.9593789)
Weso’s Italian Restaurant and Bar,,,,POINT (-75.6372772 40.0478331)
Ristorante Gennaro,Pennell Road,Aston,19014,POINT (-75.4267043 39.8581632)
Rocco's Brick Oven Pizzeria,2nd Avenue,Collegeville,19426,POINT (-75.4519009 40.1810427)
Roma Pizza,,,,POINT (-75.1311089 40.2295012)
Trattoria,,,,POINT (-75.3816437 40.3498435)
Tosco's Italian Delight,Main Street,Red Hill,18076,POINT (-75.4826442 40.3715219)
Ristorante Castello,,,,POINT (-75.2683549 40.1548411)
Piccolo Mondo Italian Restaurant,West Schuylkill Road,,19465,POINT (-75.6673074 40.2338176)
Café Carmela,Holme Avenue,,,POINT (-75.0303755 40.0572232)
Fresco Pizza & Grill,South Newtown Street Road,Newtown Square,19073,POINT (-75.3985244 39.9760382)
La Locanda Ristorante,West Chester Pike,Newtown Square,19073,POINT (-75.4500227 39.975011)
Core de Roma,Jefferson Street,Belmont Hills,19004,POINT (-75.2380558 40.0283739)
La Stalla,,,,POINT (-74.9399581 40.2298237)
Via Roma Italian Restaurant & Sports Bar,Ridge Pike,Eagleville,19403,POINT (-75.4060771 40.1568326)
A Mano,,,,POINT (-75.1752861 39.9672087)
Ricky & Maria Pizza and Pasta,,,,POINT (-75.2234934 40.0392445)
Angelo's,,,,POINT (-75.0451557 40.1671732)
