@id,name,longitude,latitude,addr:city,ZIP_CODE,building,opening_hours,phone,website,county
way/879982410,Olive Garden,-75.4768357,40.1650276,,19426,yes,"Mo-Th,Su 11:00-22:00; Fr-Sa 11:00-23:00",+1 610-831-8814,https://m.olivegarden.com/locations/pa/collegeville/collegeville-providence-town-center/1819,Montgomery County
way/881032882,Chiodo's Ferro Cocina,-79.1671004,41.8399867,,16365,yes,,,,Warren County
way/895101380,Brother's Pizza,-77.9499226,41.0304702,Snow Shoe,16874,yes,,,,Centre County
way/896326244,Little Mama's,-77.7461111,40.8679831,Pleasant Gap,16823,yes,,,,Centre County
way/908466746,Mi Scuzi,-80.0787636,42.10861,Erie,16508,yes,,,,Erie County
node/916278307,Carrabba's Italian Grill,-76.3028735,40.069791,,17601,,"Mo-Th 11:00-22:00; Fr,Sa 11:00-23:00; Su 11:00-21:00",,,Lancaster County
node/916286726,Fiorentino's Italian Restaurant,-76.2996044,40.1190128,,17543,,"Mo-We,Su 11:00-22:00; Th 11:00-23:00; Fr-Sa 11:00-24:00",,,Lancaster County
node/928661730,Romano's Macaroni Grill,-76.8449962,40.3034026,Harrisburg,17110,,,,,Dauphin County
way/963792169,Muscarella's Cafe Italia,-80.4820874,41.2626231,,16150,yes,,,,Mercer County
way/988524015,Amici Italian Market and Deli,-75.2890432,40.2351787,Lansdale,19446,yes,Mo-Fr 09:00-17:00; Sa 09:00-16:00; Su 09:00-15:00,,,Montgomery County
way/988628751,Scoogi's Classic Italian,-75.2142298,40.1135426,Flourtown,19031,,"738 Bethlehem Pike, , PA 19031, United States",,http://www.scoogis.com/,Montgomery County
node/989306169,Teresa's Cafe and Next Door,-75.3879904,40.0450827,Wayne,19087,,"11:30-21:00; Fr,Sa 11:30-22:00",(610) 293-9909,https://www.teresas-cafe.com/,Delaware County
node/993739560,Martelucci'S Pizza,-75.3682804,40.6323973,Bethlehem,18018,,,,,Northampton County
way/1005464664,OIP Original Italian Pizza,-78.2440708,40.2154221,Saxton,16678,retail,11:00-21:00,,,Blair County
way/1017623156,Combine Brothers,-80.4568305,41.201757,,16159,yes,,,,Mercer County
way/1033648456,From the Boot,-75.2209927,40.1547634,Ambler,19002,,,,,Montgomery County
way/1037203397,Carrabba's Italian Grill,-74.9589771,40.1153693,Bensalem,19020,yes,,,,Bucks County
way/1071333971,Mamma Ventura Restaurant,-77.2319097,39.8311135,Gettysburg,17325,yes,"Mo,Th 16:00-21:00; Tu,We 11:00-21:00; Fr,Sa 11:00-22:00; Su off",+1 717-334-5548,https://www.mammaventura.com,Adams County
way/1082129303,Sal's Ristorante & Bar,-80.3886575,40.7787068,,15010,yes,,,,Beaver County
node/1083613601,La Prima Vera,-76.9138561,40.9562947,,17837,,,,,Union County
way/1085675766,Trattoria San Nicola,-75.4945786,40.0411905,Paoli,19301,commercial,"Mo-Th 11:30-14:00,17:30-21:00; Fr 11:30-14:00,17:30-21:30; Sa 17:30-21:30; Su 17:00-20:30",+1 610-695-8990,http://sannicola.net/,Chester County
way/1087785044,Olive Garden,-76.9672604,41.2497554,Williamsport,17701,yes,,570-321-9250,,Lycoming County
way/1093400735,Victor's,-76.6979178,39.9605385,York,17403,yes,,+1-717-854-7958,https://victorsofyork.com/,York County
node/1129803906,TD Alfredo's,-75.5249795,40.1279278,,19460,,,,,Chester County
way/1140077778,Maria's Ristorante on Summit,-75.2363333,40.0567404,Philadelphia,19128,yes,,,,Montgomery County
way/1143772401,Village Tavern,-77.4369653,41.1342131,,17745,yes,,,,Clinton County
way/1152245525,Sorrento's,-75.2598852,40.0872302,Lafayette Hill,19444,yes,,,,Montgomery County
node/1181063239,Numero Uno,-78.9581324,40.3232668,,15905,,,,,Cambria County
way/1188089617,La Porta Ristorante,-75.460135,39.9389816,Media,19063,yes,,,,Delaware County
way/1191444076,Roma Gardens,-78.8105968,41.6593583,Kane,16735,yes,,+1-814-837-9691,,McKean County
way/1202437692,Olive Garden,-76.4875237,41.0098675,Bloomsburg,17815,restaurant,"Su-Th 11:00-22:00, Fr-Sa 11:00-23:00",+1 (570) 784-2229,https://www.olivegarden.com/locations/pa/bloomsburg/bloomsburg/4449,Columbia County
node/1203395407,Frankie's Fellini Cafe,-75.4426996,40.047341,Berwyn,19301,,Mo-Th 16:00-21:00; Fr-Sa 16:00-22:00; Su 13:00-21:00,+1 610-647-1737,https://frankiesfellinicafe.com/,Chester County
node/1307472342,Asiagos,-78.9285492,40.3252766,,15905,,,,,Cambria County
node/1357878929,Mangia Qui,-76.8859347,40.2650522,,17102,,,,https://www.mangiaqui.com/,Dauphin County
node/1371543274,Pino's Italian Kitchen,-79.9143949,40.4503353,,15208,,,,,Allegheny County
node/1373370413,Sapore Restaurant,-75.704912,40.8272295,Lehighton,18235,,,610 377 5666,https://www.saporelehighton.com/,Carbon County
node/1376928128,Girasole,-79.9347254,40.4511589,,15232,,,+1 412-682-2130,http://www.733copeland.com/,Allegheny County
node/1388435296,Pepperoncini Sotto,-75.5154493,40.1338272,,19460,,,,,Chester County
node/1482514639,Girasole,-75.1654742,39.9455278,,19102,,,,,Philadelphia County
node/1559467250,Skippack Village Italian Market,-75.4042816,40.2276616,,19474,,,,https://skippackrestaurants.com/,Montgomery County
