name,gmap_id,latitude,longitude,stars,review_count,hours_Monday,hours_Tuesday,hours_Wednesday,hours_Thursday,hours_Friday,hours_Saturday,hours_Sunday,city,ZIP Code
Di Mario's Railroad St Cafe,0x883457ef4e8faa7b:0x1b1bfc1e281e4ea9,40.3582798,-80.1102066,4.1,38,07:00–02:00,07:00–02:00,07:00–02:00,07:00–02:00,07:00–02:00,07:00–02:00,07:00–02:00,Bridgeville,15017
Momentos Pizza,0x89c6c82b4293d8d1:0xdfdd5e81d55fe1e0,39.9879829,-75.1093052,4.3,115,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,13:00–23:00,Philadelphia,19134
Anthony's Coal Fired Pizza & Wings,0x89c6e9e8b6280d07:0x640fcbbf91382322,39.9142377,-75.3478566,4.1,37,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Springfield,19064
Little Italy Pizza & Trattoria,0x89c6c89f5f79d653:0x68cbded6fab446be,39.937410799999995,-75.1499663,4.3,98,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,Philadelphia,19147
Patti's la Cucina,0x8834e9cd15cc9575:0xedc6d540ed9fe356,40.3525061,-79.8214981,4.4,46,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,14:00–21:00,Closed,White Oak,15131
La Vera Pizza No 2,0x89c1521baacba843:0x473bcdf58485851c,40.1350694,-74.88295,4.1,145,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,11:00–22:00,Levittown,19056
Crazy Tomato,0x89c88eeeb95b7f57:0xfa47e1839405d22b,39.97379,-76.70370799999999,3.9,175,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,00:00–22:00,York,17403
Arleo's Pizza,0x8834547af6cc7c8b:0x5b0b82fa8eb20881,40.267674,-80.180379,4.4,98,Closed,16:00–21:00,16:00–21:00,16:00–21:00,15:00–21:00,15:00–21:00,15:00–20:00,Canonsburg,15317
Brothers Pizza of Howard,0x89ce96ac8dec884d:0xad7211aea20b6a19,41.0151123,-77.66063679999999,4.6,118,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,13:00–22:00,Closed,Howard,16841
3 Cheers Cafe,0x89c51f4a6e6f9547:0xdd0c765202eb91ca,41.334319,-75.80295,4.5,38,Closed,Closed,16:00–21:00,16:00–21:00,16:00–22:00,16:00–22:00,Closed,West Pittston,18643
Amelia,0x89c3ff458051e037:0x237a115faea137ed,40.363326,-74.9532354,4.3,38,Closed,Closed,17:00–22:00,17:00–22:00,17:00–22:00,17:00–22:00,17:00–22:00,New Hope,18938
Calandi's,0x89c4cdea83d03f6f:0x7316d078bf3133b5,41.568397499999996,-75.5046905,3.9,26,16:00–02:00,16:00–02:00,16:00–02:00,16:00–02:00,16:00–02:00,16:00–02:00,16:00–00:00,Carbondale,18407
89 Cold Beer & Pizza,0x89c6c6989145fd01:0xa8fec84e6dbcbc65,39.9334573,-75.2234935,3.6,96,10:30AM–2AM,10:30AM–2AM,10:30AM–2AM,10:30AM–2AM,10:30AM–2AM,10:30AM–2AM,10:30AM–2AM,Philadelphia,19143
City Star Pizza,0x89c6b9de16ad6277:0xa43ca34a16298031,40.044142,-75.18163559999999,4.9,18,11AM–11:30PM,11AM–11:30PM,11AM–11:30PM,11AM–11:30PM,11AM–11:30PM,11AM–11:30PM,11AM–10:30PM,Philadelphia,19144
Vincenzo's Pizza (Harrisburg),0x89c8bede54714d1b:0x4fa2b37a4ccfaeac,40.2604331,-76.777231,3.6,97,11:00–21:00,11:00–21:00,11:00–21:00,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,Closed,Harrisburg,17111
VIM Pizza & Italian Restaurant,0x89c646f389bda5c9:0x1f20e165942b6899,39.992394499999996,-76.02006639999999,3.8,153,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,Closed,Gap,17527
Mr Joe's Steak House & Restaurant,0x89c89d1c3cab67d3:0x8710da0fba37d53b,40.030260899999995,-76.4985485,4.3,222,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,00:00–20:00,Columbia,17512
Banana Peppers Pizzeria,0x8834fb0ac7d82f19:0x2a47a5406c8b7e28,40.300144599999996,-79.9624044,4.5,56,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,16:00–20:00,Clairton,15025
A Mano Eatery,0x8834a858d60890ad:0x76185dd1cf40acfd,40.811688,-79.51832399999999,4.6,97,Closed,07:00–14:00,07:00–14:00,07:00–14:00,07:00–14:00,08:00–13:00,Closed,Kittanning,16201
Italian Home Club,0x8833b6e0987bfdb7:0xf493a736fb3d13e6,41.4017963,-80.38869489999999,4.6,34,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,11:00–23:00,11:00–23:00,Greenville,16125
Bella Italia,0x406f88d0cb8cc73b:0x6dfbf5a2d7bb131b,40.196990199999995,-76.0176575,3.9,133,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Bowmansville,17507
Apollo Pizza Bar & Restaurant,0x89c14e24d5c5f053:0x85446f5887fc7432,40.107711099999996,-74.84193979999999,4.5,48,Closed,Closed,00:00–22:00,00:00–22:00,00:00–23:00,00:00–23:00,Closed,Bristol,19007
Sam's Pizza,0x89c6f5ed7cf6562f:0x6a014ef9a814dba0,40.0060694,-75.7020002,4.5,133,Closed,10:00–21:00,10:00–21:00,10:00–21:00,10:00–22:00,10:00–22:00,11:30AM–9PM,Downingtown,19335
Italian Village Pizza,0x8834fafbbfa5f1a1:0x10fd8ee056b24da0,40.3258205,-79.9569156,3.2,65,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–10:30PM,11AM–10:30PM,11AM–9:30PM,Pittsburgh,15236
New Station Pizza IV,0x89c6b4348747a515:0xbcae089bb5ad6623,40.026256,-75.04315799999999,3.5,136,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–01:00,11:00–01:00,00:00–23:00,Philadelphia,19135
Lina's Cucina,0x89c435c256b3fbdf:0xba9c0210713c7f88,40.681532499999996,-75.6957382,4.7,18,Closed,Closed,11:30AM–8:30PM,11:30AM–8:30PM,11:30AM–8:30PM,11:30AM–8:30PM,11:30AM–8:30PM,New Tripoli,18066
Nick's Pizza Restaurant,0x89c687b7f836ddbf:0xdba79d7acfdc169a,40.246584999999996,-75.678924,4.5,65,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,11:00–20:00,Pottstown,19464
Paesano's Pizza,0x89c889c1f86ed5b7:0x6fad5dfb5916dbae,39.882895,-76.7099535,4.8,158,Closed,11:00–23:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–23:00,11:00–23:00,Jacobus,17407
Pizzanos Pizza & Subs,0x89c51f8c3802edfb:0x1f3bb245d36d2b79,41.338779699999996,-75.7413445,4.5,52,Closed,15:00–20:00,15:00–20:00,15:00–20:00,15:00–21:00,15:00–21:00,Closed,Avoca,18641
Florida Style Pizza,0x89c6c674734b1e7d:0x6d4191ad79851809,39.9261191,-75.1822414,4.2,38,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,00:00–21:00,16:00–17:00,Philadelphia,19145
Buon Cibo Grill,0x8834ea9ebdbb4fdd:0x9620704bf4ab555f,40.4262398,-79.67137269999999,4.6,105,Closed,4:30–9:30PM,4:30–9:30PM,4:30–9:30PM,4:30–10PM,4:30–10PM,Closed,Murrysville,15668
Semolina Pizza,0x89c6adab414ef66f:0xc9d37c108089291e,40.176379,-75.04282839999999,5.0,8,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Southampton,18966
Lo Bello's Restaurant,0x88345e14b13ebf81:0x4b037743614f67f6,40.5197259,-80.169833,4.2,16,Closed,Closed,Closed,4–8:30PM,4–8:30PM,4–8:30PM,4–8:30PM,Coraopolis,15108
Sciarrino's Pizzeria,0x89c6c21b4e4beee5:0x6d2900dea1ddb848,39.934599999999996,-75.328876,4.4,168,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–00:00,11:00–00:00,00:00–21:00,Springfield,19064
Sbarro,0x8834d1c9bdc4f053:0xb5a17326337ca431,40.3007762,-79.50834929999999,3.7,17,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,Greensburg,15601
Otto By Polpo,0x89c6bf52c04519ad:0xe2ec8e0b68e43168,40.0217935,-75.31618689999999,4.6,46,11:00–15:00,11:00–15:00,11:00–15:00,11:00–15:00,11:00–15:00,11:00–15:00,11:00–15:00,Bryn Mawr,19010
Marzella's Pizza,0x89c690a2f5d9d577:0x307198d932dcceee,40.1902263,-75.45588529999999,4.1,148,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,00:00–20:00,Collegeville,19426
LIFeSTYLE,0x89ca525f2c70a5d9:0x4d0bd83dab5a28b3,40.0188493,-78.5033734,4.7,58,10:00–16:00,10:00–16:00,10:00–16:00,10:00–16:00,10:00–16:00,10:00–18:00,11:00–15:00,Bedford,15522
Pizza Siena,0x8834d2c98087c845:0xe86008eace638236,40.2881202,-79.38657909999999,4.4,168,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11AM–8:30PM,Latrobe,15650
Villa Teresa,0x89cf3feb1917b839:0xb5c2af48301c9f5c,40.8246063,-76.8491106,4.3,58,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,11:00–17:00,Selinsgrove,17870
Tony Roni's Pizza Bala Cynwyd,0x89c6c756a6d49f9b:0xb89847d83d80b12a,40.005552,-75.241753,4.0,106,10AM–8:30PM,10AM–8:30PM,10AM–8:30PM,10AM–8:30PM,10:00–21:00,10:00–21:00,11:00–20:00,Bala Cynwyd,19004
Casa Italia Pizza & Pasta,0x89c7acba29d1d2b7:0x8f294d4da8af4f4b,39.7609299,-75.84477679999999,4.4,118,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–20:00,Lincoln University,19352
Famous Franks A-lot,0x89c6c6297040f21b:0xd615e4801f52ad9d,39.9531914,-75.1594066,3.4,53,11:00–18:00,11:00–18:00,11:00–18:00,11:00–18:00,11:00–18:00,11:00–18:00,11:00–17:00,Philadelphia,19107
Mama Mia Pizza,0x89c6c2e5a845784b:0xc7271486af22cff3,39.884339,-75.30393,3.3,88,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–01:00,11:00–01:00,00:00–21:00,Prospect Park,19076
South View Pizza,0x89c6c8aa9a295163:0x2277abd2c1d7393,39.9194393,-75.1538954,3.9,88,12–10:15PM,12–10:15PM,12–10:15PM,12–10:15PM,12PM–12:15AM,12–11:30PM,00:00–22:00,Philadelphia,19148
Enzo's Pizza & Pasta,0x89c6f552b5c18781:0xddf9d87e71f5eadf,40.0554847,-75.66648099999999,4.7,36,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,Closed,Exton,19341
Vinny's pizzarama,0x89c6a1eecccef3d3:0xe88582390e24d554,40.2751759,-75.3054581,4.8,46,Closed,10:00–20:00,10:00–20:00,10:00–20:00,10:00–21:00,10:00–21:00,10:00–20:00,Hatfield,19440
Florinos Pizza & Bar,0x89c670b4be4ba03f:0xe23de17fd47e9adc,40.335069999999995,-75.9185481,3.7,78,10:00–00:00,10:00–00:00,10:00–00:00,10:00–01:00,10:00–02:00,10:00–02:00,10:00–00:00,Reading,19602
Conrad's Pizza,0x89db221ddb964527:0x5ac065cdc2138f32,41.9463496,-75.6025717,4.5,55,00:00–21:00,00:00–21:00,00:00–21:00,00:00–21:00,00:00–21:00,00:00–21:00,00:00–21:00,Susquehanna,18847
Antonella's Italian Kitchen,0x89c6bffe92ace8f3:0x7f5fcac90778c0d4,40.025811499999996,-75.3375997,4.7,95,10:00–18:00,10:00–18:00,10:00–18:00,10:00–18:00,10:00–18:00,10:00–16:00,Closed,Bryn Mawr,19010
Sbarro,0x89c6c362161add69:0x5bd19a578401d973,39.88064,-75.23834,3.2,39,6:30AM–9PM,6:30AM–9PM,6:30AM–9PM,6:30AM–9PM,6:30AM–9PM,6:30AM–9PM,6:30AM–9PM,Philadelphia,19153
Jarrettown Hotel Restaurant,0x89c6a53632002dcd:0xf85b351177d198c0,40.155191599999995,-75.1756991,4.5,8,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–21:00,Dresher,19025
Pizza Masters,0x8834662da227ca2b:0xeee4142456a7f3ba,40.5936204,-80.2725107,4.2,57,14:00–21:00,14:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Aliquippa,15001
Broad St. Pizzeria and Restaurant,0x89c43ef8dbe80d0f:0xa6b341f5e06dafb2,40.6227206,-75.3903186,3.9,177,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–9PM,Bethlehem,18018
Bados Cucina,0x883455c73571cb21:0x12a97eab51f0ed14,40.274526099999996,-80.1259639,4.5,28,Closed,5–9:30PM,5–9:30PM,5–9:30PM,17:00–22:00,17:00–22:00,Closed,Canonsburg,15317
Sbarro,0x8835ad164cf260d9:0xcff550c960b1c77d,40.2158929,-80.2116195,4.3,8,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,11:00–19:00,Washington,15301
Illiano's,0x89c51af2540b7549:0xeeb0b16942fd42ed,41.236716,-75.8730745,4.6,118,Closed,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,00:00–21:00,Wilkes-Barre,18702
John's New Pizza & Restaurant,0x89c6b4885cde1c57:0x4632e54a1bc67f36,40.0483579,-75.0121344,4.0,212,11AM–11:30PM,11AM–11:30PM,11AM–11:30PM,11AM–11:30PM,11:00–00:00,11AM–12:30AM,12–10:30PM,Philadelphia,19136
Midtown Pizza,0x89c8bdfaaff8a9df:0x54875696e5b95936,40.2000618,-76.7229115,3.6,237,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Middletown,17057
Luciano's Pizza & Six Pack To Go,0x88348c7fbb5306b3:0xe64b9bc85a2c544b,40.567588,-80.00709499999999,4.2,467,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Pittsburgh,15237
Sbarro,0x89c6c484ce73ed45:0x77a8a7691e4f09fa,39.877136,-75.24067,3.3,8,6:30AM–9PM,6:30AM–9PM,6:30AM–9PM,6:30AM–9PM,6:30AM–9PM,6:30AM–9PM,6:30AM–9PM,Philadelphia,19153
New Spatola's Pizza,0x89c40351c1326c47:0xcff88de6eb4bb7f6,40.390616699999995,-75.1479028,4.4,98,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,11:00–22:00,Pipersville,18947
Fiorella Pasta,0x89c6c726de9697d1:0xfd81d1db6a313e68,39.9388679,-75.1569208,4.8,118,16:00–21:00,16:00–21:00,16:00–21:00,16:00–21:00,16:00–22:00,16:00–22:00,16:00–21:00,Philadelphia,19147
Spasso Italian Grill,0x89c6e907df5c8371:0x43f2249b4afb329e,39.918120099999996,-75.3896457,4.5,688,11:30AM–9PM,11:30AM–10PM,11:30AM–10PM,11:30AM–10PM,11:30AM–11PM,11:30AM–11PM,10:00–21:00,Media,19063
Katrina's Pizza & Hoagie,0x89c4d988f090c393:0xe77cbb80821f222b,41.4592099,-75.62428489999999,4.3,108,Closed,06:00–19:00,06:00–19:00,06:00–19:00,06:00–20:00,06:00–20:00,06:00–12:00,Dickson City,18519
Original Italian Pizza,0x89cbe35748e10a03:0xd97d9241f9a2f73e,40.4862829,-78.0145158,4.5,358,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,Huntingdon,16652
Thorndale Pizza Box,0x89c65f32f1d02775:0xba81a32576fbd780,39.9987012,-75.7328634,4.6,138,Closed,10AM–8:30PM,10AM–8:30PM,10AM–8:30PM,10:00–21:00,10:00–21:00,10AM–8:30PM,Downingtown,19335
Mr P Pizza & Pasta Inc,0x89c6b05048096295:0xde7549279affc7f2,40.1228042,-75.1161915,4.1,158,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,11:00–22:00,Abington,19001
Tino's Pizzeria & Bar,0x89c671539619e86b:0xc3d6f289e2fa295d,40.3409481,-75.9855917,4.5,274,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Reading,19610
Asti's Italian Steakhouse,0x8834efb2ce67f33b:0x2336e4c93a6b5c5d,40.4032579,-79.8558012,4.7,48,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–19:00,Braddock,15104
Carabello,0x89c4d95081a108ed:0xe286b0ac09126930,41.4196032,-75.6294223,4.7,94,Closed,17:00–22:00,17:00–22:00,17:00–22:00,17:00–00:00,5–11:30PM,Closed,Dunmore,18512
"Dominick's Diner, LLC",0x882d7fe104a00453:0xfed52df1538ca6da,42.1241762,-80.07900409999999,4.3,709,07:00–19:00,07:00–19:00,07:00–19:00,07:00–19:00,07:00–19:00,07:00–19:00,07:00–14:00,Erie,16501
Adriatic Pizza & Pasta,0x89c153e74440c81d:0xc2177132109dde61,40.1835399,-74.8809366,4.1,15,11:00–19:00,11:00–19:00,11:00–19:00,11:00–19:00,10:00–20:00,10:00–20:00,00:00–18:00,Langhorne,19047
Napoli Pizza and Italian Cuisine,0x89c415b7c66511db:0x4233427d5dd75dc9,40.644297,-75.3325862,4.8,38,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11:00–22:00,11:00–22:00,12–8:30PM,Bethlehem,18020
Pat's pizza and Hoagies,0x40678fe13f5f3d45:0x2cb3a23269f85aee,41.5782862,-75.5059721,4.5,88,Closed,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,14:00–22:00,Carbondale,18407
Parma Pizza and Grill,0x89c88bfe0ef57177:0x5da6b73515db1a95,39.9468803,-76.7345962,4.2,323,10:30AM–9:30PM,10:30AM–9:30PM,10:30AM–9:30PM,10:30AM–9:30PM,10:30AM–10:30PM,10:30AM–10:30PM,11AM–9:30PM,York,17403
Italian-American Club,0x8834c69be02501a7:0x55b2afdf3eca56f3,40.4168242,-79.6221807,4.4,96,09:00–01:00,09:00–01:00,09:00–01:00,09:00–01:00,09:00–01:00,09:00–01:00,09:00–22:00,Export,15632
Uncle Charlie's Pizza,0x89c15141540dce53:0x3401e8233cb19a75,40.1846947,-74.85658409999999,4.3,358,10:15AM–9PM,10:15AM–9PM,10:15AM–9PM,10:15AM–9PM,10:15AM–10PM,10:15AM–10PM,11AM–8:45PM,Fairless Hills,19030
