,Feature,success_score,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Coefficient
44,Employment Status - Females 16 years and over - In labor force - Civilian labor force,-0.1145778133453774,0.993068253255456,0.0141255192010158,-0.0022854121300389,0.0881067077898361,0.033962569022709,0.0090361658366075
45,Employment Status - Females 16 years and over - In labor force,-0.1147297243778696,0.9930341356863336,0.0141868758665819,-0.0023897666949166,0.088395845820926,0.0339679985109883,-0.008090036007732
46,Income and benefits - Nonfamily households,-0.1165345484493214,0.8416038644786867,0.0520091274594764,0.0779495819470575,0.4842309390673715,-0.0466898930544505,3.5543379257005434e-05
47,"Income and benefits - Families - $75,000 to $99,999",-0.1197930634157853,0.8914658139669377,0.0849258240185819,-0.0069802606976779,-0.1946803557309977,0.2884705909728242,0.0012971537412121
48,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage - With private health insurance,-0.1281919000645661,0.8570196683208181,0.0668584871783163,-0.0700215731886535,0.1469566620292696,0.0453238322297981,0.0027818375795981
49,Income and benefits - Families,-0.1369699257648644,0.9699397940855914,0.0973726411007646,-0.0636190912880062,-0.1728137168184714,0.0302561753124659,5.644164910549696e-05
50,Income and benefits - Total households,-0.1378916045682086,0.9839419017408184,0.083951275405949,-0.0037540358463399,0.1141944044990807,-0.0026054337464202,9.19850283630466e-05
51,Employment Status - Population 16 years and over,-0.1440898685469827,0.9901789371470602,0.1144650686390258,-0.0261761946044306,0.0302976957273405,-0.0103346874119984,8.12133181109484e-05
52,Industry - Civilian employed population 16 years and over - Retail trade,-0.1475139506175526,0.9400141820183636,0.0579740374535888,0.1113792998167052,-0.1526681221028474,0.1596709251552879,-0.0001392726920403
53,"Industry - Civilian employed population 16 years and over - Educational services, and health care and social assistance",-0.1521084385155986,0.945503613580964,0.0577573782025088,-0.0097657840882017,0.2194523004625039,-0.0280542064062665,1.6355684700745986e-05
54,"Occupation - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations",-0.1536198104657436,0.7788077093468435,0.1230973311368005,0.1807093444466177,-0.3537731301245386,0.3266144691678602,-0.0007652156074168
55,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years,-0.1542004102004098,0.9858153959485396,0.1251935534843181,0.0325781543842973,0.0900000439684109,-0.0005050075139244,0.0003441887682343
56,Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage,-0.158260886833971,0.988924881887954,0.1372747118226636,-0.0564201336078735,-5.113798752647927e-11,-1.0592161816979035e-11,0.0009358569990184
57,"Commuting to Work - Workers 16 years and over - Car, truck, or van -- carpooled",-0.1630386414501208,0.8249420542841555,0.1113588813124488,0.295178913086191,-0.1629630431329042,0.1922067688500175,-4.155694461176917e-05
58,Employment Status - Females 16 years and over,-0.1647758725414393,0.9836353336724736,0.1426234817443122,-0.0386708815838865,0.0628679292290059,0.0005978339044802,6.196911363310628e-05
59,Income and benefits - Total households - With Social Security,-0.169075429887815,0.925171629471183,0.1663865071657211,-0.0993381064213992,-0.0537335376482292,0.0937285867947192,-8.450337283890123e-05
60,CLass of worker - Civilian employed population 16 years and over - Government workers,-0.1696530563490424,0.9141039085063009,0.0730469711734055,-0.0399251902100452,0.1425894353960837,0.1778010348293419,-9.938738993422276e-05
61,Health Insurance Coverage - Civilian noninstitutionalized population,-0.1780544362083829,0.98477630064678,0.1735042141441475,-0.0105794781611699,-1.3089034421367788e-10,-1.0420101563973598e-10,-0.0006605562753399
62,"Income and benefits - Total households - $50,000 to $74,999",-0.1786665494918205,0.9231383764680592,0.13899292016774,0.1599874972962698,0.1290844445447154,0.168830374150326,-0.0003188602871286
63,Industry - Civilian employed population 16 years and over - Public administration,-0.1916162847608251,0.8094942038266589,0.1714681088050934,0.0949779803373678,0.1683785414183803,0.2355730890689589,-9.604351732925225e-05
64,Employment Status - Own children of the householder 6 to 17 years - All parents in family in labor force,-0.2220772690533728,0.9087022523402368,0.2392060905300995,-0.0680130619880299,-0.2186916089701842,0.0317858671164234,0.0001985294117848
65,Employment Status - Population 16 years and over - Not in labor force,-0.2333826575752662,0.9020133525694282,0.3687823150275321,-0.1003199628917868,0.0438344459468208,-0.0451057154301164,-9.214161922221511e-05
66,Employment Status - Own children of the householder 6 to 17 years,-0.2420236430526773,0.894974156052286,0.3128156780678751,-0.0509362060429479,-0.2187863443914258,-0.005682750537589,-0.0001860772995561
67,"Income and benefits - Total households - $35,000 to $49,999",-0.2476413920968531,0.8538853358228157,0.3497943685635993,0.1498631567190278,0.1472814762428133,0.2025747660525944,-0.0001204871605287
68,"Occupation - Civilian employed population 16 years and over - Production, transportation, and material moving occupations",-0.2647341333330056,0.8144214928329401,0.333009238244257,0.2170667938630862,-0.0745258457237362,0.3653320991959811,0.0004042355635052
69,Employment Status - Own children of the householder under 6 years - All parents in family in labor force,-0.267921450885618,0.8954819183353471,0.303538976029052,0.0660365735231184,0.0254494020790282,0.0437197931100785,-9.445465435366984e-05
70,"Income and benefits - Families - $50,000 to $74,999",-0.2706038598706048,0.8609469112071134,0.2872635580029006,0.158737063540052,-0.0741625626830257,0.2994737650089245,9.276853285225148e-07
71,Employment Status - Own children of the householder under 6 years,-0.2727849694009205,0.8974909642182317,0.3414417822584399,0.0728313112106393,-0.0277686322456135,0.0229090294844801,0.0002352031154589
72,"Industry - Civilian employed population 16 years and over - Transportation and warehousing, and utilities",-0.2743841375472295,0.8001838620230836,0.3739763350904717,0.1097898673602098,0.0621895144909957,0.3016718239398072,-0.0005295298025365
73,Health Insurance Coverage - Civilian noninstitutionalized population under 19 years,-0.2764478062888513,0.9059587819180248,0.3718009618758771,-0.0201386785472668,-0.116570406479416,-0.003349891735559,-0.0002797750270385
74,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage,-0.2902069842536939,0.7874884483238017,0.5240026679205303,-0.0440068709974355,0.2051710032287503,-0.0562324674628576,-0.000923159183599
75,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force,-0.2985780155324494,0.7870395582295622,0.5390086332473577,0.0032215028300433,0.1952570489002368,-0.050677140981305,0.0006688797341885
76,Commuting to Work - Workers 16 years and over - Public transportation (excluding taxicab),-0.3024457030340915,0.5873809537352186,0.4274804796805302,0.2427380735317622,0.5473643130675724,-0.0813633719453393,4.596805092527816e-05
77,"Income and benefits - Families - $35,000 to $49,999",-0.3190856269864912,0.775886051448705,0.4712558808725575,0.2014042426843586,0.0206163222812177,0.2327472851885419,0.0004636675070781
78,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - No health insurance coverage,-0.3196835695225144,0.6769577989910388,0.5763303328630555,0.3504015623712525,0.0957963728225118,-0.0029126467275244,0.0015920389177879
79,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - No health insurance coverage,-0.3202088739394931,0.7267394462914996,0.4426921676743107,0.5085428849266928,-0.0266423103431094,0.0204834163463246,0.0016790466440299
80,Health Insurance Coverage - Civilian noninstitutionalized population under 19 years - No health insurance coverage,-0.3205610835401446,0.6382551285991505,0.5000947675010671,0.3591453073467386,-0.159771554407669,-0.0571112247036507,0.0029435231816823
81,Health Insurance Coverage - Civilian noninstitutionalized population - No health insurance coverage,-0.3414025351679325,0.7311058386461986,0.505210580161918,0.4585264685641311,-9.149761879203692e-10,-1.035129136410264e-09,-0.0015964132743606
82,Occupation - Civilian employed population 16 years and over - Service occupations,-0.3432181781889977,0.85737611975857,0.3883737900885284,0.2014386833888805,0.0801984035052022,0.1813980575157529,0.0001310579407167
83,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage,-0.3566359684011396,0.781016540971209,0.4201066691072118,0.0373151275466481,0.2672088018949652,0.141244433053782,-0.0029225508472743
84,"Income and benefits - Total households - $25,000 to $34,999",-0.359467203115753,0.7975303328003908,0.4548814191074714,0.1477071680489018,0.2348844635156968,0.1071983759219609,-0.0001569784123049
85,Employment Status - Population 16 years and over - In labor force - Civilian labor force - Unemployed,-0.359687352526883,0.8063620567789318,0.4364763654200685,0.0842374386999748,0.2333193589522808,0.1091789246504243,0.0005430932579377
86,"Income and benefits - Total households - $15,000 to $24,999",-0.364085474814843,0.7454135361694716,0.5575211784982038,0.1004373089798479,0.2558538898256803,0.0972429487275478,-9.511922908028768e-05
87,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - No health insurance coverage,-0.3681506284590242,0.6404940526810995,0.4694827214925339,0.3418396910350574,0.1471923731206014,-0.00884077319722,0.0019630276384906
88,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed,-0.3735514005047705,0.781903617601315,0.4478451744027529,0.1052559910973131,0.2518182646165313,0.1142068981216119,-0.0009595232087835
89,Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage - With public coverage,-0.3741199866458518,0.8093127440735999,0.5498834616382652,0.0859024460167081,0.0918900471495829,0.1090267482393615,-0.0003526668855793
90,"Income and benefits - Total households - Less than $10,000",-0.3766746077436095,0.5808131931188977,0.609899709682934,0.0201383938254399,0.4652576220980912,-0.0318844020687677,-0.0001057825852508
91,Income and benefits - Total households - With cash public assistance income,-0.3836406778318657,0.6638661657847121,0.6145721484370088,0.1183177973437096,0.2996976725426713,0.0564214964521259,0.0008458417557779
92,"Income and benefits - Families - $10,000 to $14,999",-0.403192293435833,0.5512143119545997,0.6739404187869592,0.1167282264878258,0.2357592062833498,0.0831095195701981,-0.0001280224454434
93,"Income and benefits - Families - $15,000 to $24,999",-0.4085252308976876,0.6047201887456279,0.6990289879697034,0.1682166466478494,0.13570435815277,0.0706123209430343,0.0001641121746422
94,"Income and benefits - Total households - $10,000 to $14,999",-0.4097640286604635,0.6078461396463047,0.6220108527627839,0.0763808565837547,0.3981005328097367,0.0550006041550409,0.0006595036587537
95,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage - With public coverage,-0.409878374145318,0.7074517736881771,0.6026812390642698,0.1950714290895261,0.1989476605019355,0.1593651618236862,0.0010101107921885
96,"Income and benefits - Families - Less than $10,000",-0.412817356150623,0.5588050788018794,0.7031966380781078,0.131248474857887,0.272599277820218,0.019903984196152,-0.0007519659351744
97,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage - With public coverage,-0.4157159876049283,0.6126464871309616,0.701909114604578,0.114567465356593,0.225599846977279,0.0841644049371932,0.000106094554736
98,Income and benefits - Total households - With Supplemental Security Income,-0.4168141850665123,0.6199886879305403,0.6662241015398196,0.0836572505425631,0.2395628745847078,0.0722666595595398,-0.0002544616479329
99,"Income and benefits - Families - $25,000 to $34,999",-0.4457692116522492,0.6758215800396327,0.6239204764738626,0.2071442360291741,0.1543745508740088,0.1064024280893773,-0.0007022309751415
100,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage - With public coverage,-0.4547407317917294,0.5985906483013571,0.6076985233346612,0.1133703588687283,0.3126253059632316,0.1698593079327465,0.0023840789977773
101,Income and benefits - Total households - With Food Stamp/SNAP benefits in the past 12 months,-0.4610487578898165,0.5844379232931428,0.712107093010336,0.1449998008607973,0.2983784739126081,0.0860549069161229,-0.0003842807603809
