Feature,success_score
Health Insurance Coverage - Civilian noninstitutionalized population - No health insurance coverage,-0.34140253516793256
Occupation - Civilian employed population 16 years and over - Service occupations,-0.34321817818899775
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage,-0.35663596840113965
"Income and benefits - Total households - $25,000 to $34,999",-0.35946720311575303
Employment Status - Population 16 years and over - In labor force - Civilian labor force - Unemployed,-0.359687352526883
"Income and benefits - Total households - $15,000 to $24,999",-0.36408547481484305
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - No health insurance coverage,-0.36815062845902424
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed,-0.3735514005047705
Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage - With public coverage,-0.37411998664585183
"Income and benefits - Total households - Less than $10,000",-0.37667460774360956
Income and benefits - Total households - With cash public assistance income,-0.3836406778318657
"Income and benefits - Families - $10,000 to $14,999",-0.40319229343583307
"Income and benefits - Families - $15,000 to $24,999",-0.40852523089768766
"Income and benefits - Total households - $10,000 to $14,999",-0.4097640286604635
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage - With public coverage,-0.409878374145318
"Income and benefits - Families - Less than $10,000",-0.412817356150623
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage - With public coverage,-0.4157159876049283
Income and benefits - Total households - With Supplemental Security Income,-0.41681418506651235
"Income and benefits - Families - $25,000 to $34,999",-0.44576921165224925
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage - With public coverage,-0.4547407317917294
Income and benefits - Total households - With Food Stamp/SNAP benefits in the past 12 months,-0.46104875788981653
