Feature,Coefficient
Commuting to Work - Workers 16 years and over - Worked from home,0.0002292342033732183
"Industry - Civilian employed population 16 years and over - Other services, except public administration",0.0002176502254482756
Employment Status - Own children of the householder 6 to 17 years - All parents in family in labor force,0.0001985294117848965
"Income and benefits - Families - $150,000 to $199,999",0.0001901927945228873
Employment Status - Population 16 years and over - In labor force,0.00017335493733370384
"Income and benefits - Families - $15,000 to $24,999",0.00016411217464221177
Income and benefits - Total households - With retirement income,0.0001426621722623073
Occupation - Civilian employed population 16 years and over - Service occupations,0.00013105794071676205
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage - With public coverage,0.00010609455473606846
Income and benefits - Total households,9.19850283630466e-05
"Income and benefits - Total households - $100,000 to $149,999",8.155333051131216e-05
Employment Status - Population 16 years and over,8.12133181109484e-05
Commuting to Work - Workers 16 years and over - Walked,7.739890656584517e-05
CLass of worker - Civilian employed population 16 years and over - Private wage and salary workers,6.880444546939141e-05
"Commuting to Work - Workers 16 years and over - Car, truck, or van -- drove alone",6.855807938614661e-05
Employment Status - Females 16 years and over,6.196911363310628e-05
Income and benefits - Families,5.644164910549696e-05
Commuting to Work - Workers 16 years and over - Public transportation (excluding taxicab),4.596805092527816e-05
Income and benefits - Total households - With earnings,3.9679012242046824e-05
Income and benefits - Nonfamily households,3.5543379257005434e-05
ZIP Code,2.977369737740993e-05
Occupation - Civilian employed population 16 years and over - Sales and office occupations,2.295790289686577e-05
"Industry - Civilian employed population 16 years and over - Educational services, and health care and social assistance",1.6355684700745986e-05
CLass of worker - Civilian employed population 16 years and over - Unpaid family workers,1.546802368792248e-05
"Industry - Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing",1.1949363102558902e-05
"Income and benefits - Families - $50,000 to $74,999",9.276853285225149e-07
"Industry - Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services",-2.021171292290291e-05
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage - With private health insurance,-2.9331044512874785e-05
"Commuting to Work - Workers 16 years and over - Car, truck, or van -- carpooled",-4.155694461176917e-05
Commuting to Work - Workers 16 years and over - Other means,-6.837335772561214e-05
Employment Status - Population 16 years and over - In labor force - Armed Forces,-7.722397157968857e-05
"Industry - Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services",-8.097122311497265e-05
Income and benefits - Total households - With Social Security,-8.450337283890123e-05
Industry - Civilian employed population 16 years and over - Wholesale trade,-8.54803471231076e-05
"Occupation - Civilian employed population 16 years and over - Management, business, science, and arts occupations",-8.555014872676289e-05
"Income and benefits - Total households - $75,000 to $99,999",-9.136755636728451e-05
Employment Status - Population 16 years and over - Not in labor force,-9.214161922221513e-05
Employment Status - Own children of the householder under 6 years - All parents in family in labor force,-9.445465435366983e-05
"Income and benefits - Total households - $15,000 to $24,999",-9.511922908028768e-05
Industry - Civilian employed population 16 years and over - Public administration,-9.604351732925225e-05
CLass of worker - Civilian employed population 16 years and over - Government workers,-9.938738993422276e-05
"Income and benefits - Total households - Less than $10,000",-0.00010578258525089637
"Income and benefits - Total households - $35,000 to $49,999",-0.00012048716052879051
"Income and benefits - Families - $10,000 to $14,999",-0.00012802244544349382
Industry - Civilian employed population 16 years and over - Retail trade,-0.00013927269204037354
"Income and benefits - Total households - $25,000 to $34,999",-0.00015697841230490793
Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage - With private health insurance,-0.00017437864130643893
Employment Status - Own children of the householder 6 to 17 years,-0.0001860772995561834
"Income and benefits - Families - $100,000 to $149,999",-0.0001988772908993025
Industry - Civilian employed population 16 years and over - Manufacturing,-0.0002212601048233313
Income and benefits - Total households - With Supplemental Security Income,-0.00025446164793292155
"Income and benefits - Total households - $150,000 to $199,999",-0.00027651354542506583
CLass of worker - Civilian employed population 16 years and over - Self-employed in own not incorporated business workers,-0.0002773994282479938
"Income and benefits - Families - $200,000 or more",-0.0002785156070185563
Health Insurance Coverage - Civilian noninstitutionalized population under 19 years,-0.0002797750270385319
Occupation - Civilian employed population 16 years and over,-0.00029251434902327893
Industry - Civilian employed population 16 years and over,-0.00029251434902332767
CLass of worker - Civilian employed population 16 years and over,-0.00029251434902343105
Employment Status - Population 16 years and over - In labor force - Civilian labor force - Employed,-0.0002925143490235678
"Income and benefits - Total households - $50,000 to $74,999",-0.00031886028712867665
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force,-0.00032469096595446256
Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage - With public coverage,-0.0003526668855793381
Income and benefits - Total households - With Food Stamp/SNAP benefits in the past 12 months,-0.0003842807603809225
"Industry - Civilian employed population 16 years and over - Transportation and warehousing, and utilities",-0.0005295298025365225
Health Insurance Coverage - Civilian noninstitutionalized population,-0.0006605562753399641
"Income and benefits - Families - $25,000 to $34,999",-0.0007022309751415386
"Income and benefits - Families - Less than $10,000",-0.0007519659351744391
"Occupation - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations",-0.0007652156074168241
"Industry - Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining",-0.000883247472320429
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage,-0.0009231591835990485
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed,-0.0009595232087835937
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage,-0.0010442144012025104
Employment Status - Females 16 years and over - In labor force - Civilian labor force - Employed,-0.0012788843100568449
Health Insurance Coverage - Civilian noninstitutionalized population - No health insurance coverage,-0.0015964132743606228
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage,-0.002922550847274357
Employment Status - Females 16 years and over - In labor force,-0.008090036007732079
