Feature,Importance
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_103.7,7.60381433110405e-05
Sex and Age - Total population - Median age (years)_38.9,7.294914169440409e-05
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_94.8,4.2949171519779985e-05
Sex and Age - Total population - 10 to 14 years,2.5634810563845084e-05
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_95.1,2.5520023808944243e-05
Race - Total population - One race - American Indian and Alaska Native - Chippewa tribal grouping,2.5489165410116183e-05
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_50.9,2.157166453016385e-05
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_80.6,1.7302637646622977e-05
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_89.9,1.7119810498036344e-05
Sex and Age - Total population - Sex ratio (males per 100 females)_93.9,1.6508133936332957e-05
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_81.2,1.4034226756049377e-05
Sex and Age - Total population - Median age (years)_31.5,1.3868825570651797e-05
Race - Total population - One race - American Indian and Alaska Native - Cherokee tribal grouping,1.2357602412486015e-05
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,1.0038563602717498e-05
Sex and Age - Total population - 5 to 9 years,9.634990318360841e-06
Sex and Age - Total population - Median age (years)_44.6,7.895026935510906e-06
Race - Total population - Two or more races,7.586739573884781e-06
Sex and Age - Total population - Sex ratio (males per 100 females)_96.4,7.0327902953939515e-06
Sex and Age - Total population - 60 to 64 years,6.694299004700435e-06
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_66.3,6.591884474843188e-06
Sex and Age - Total population - Median age (years)_33.2,6.244777720607124e-06
Sex and Age - Total population - Sex ratio (males per 100 females)_92.3,5.829795942079946e-06
Sex and Age - Total population - 45 to 54 years,5.630548005361801e-06
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_84.0,5.330528618096786e-06
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Chamorro,4.562243470008923e-06
Sex and Age - Total population - Median age (years)_36.1,4.301029166115481e-06
Sex and Age - Total population - Median age (years)_45.1,3.982682404640668e-06
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_86.5,3.937860259231913e-06
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_64.7,3.8337917097785435e-06
Sex and Age - Total population - Sex ratio (males per 100 females)_93.3,3.7596356492189707e-06
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - White alone,3.7051635383291293e-06
Sex and Age - Total population - 18 years and over,3.479624407639568e-06
Sex and Age - Total population - Median age (years)_46.1,3.225852575142489e-06
Race alone or in combination with one or more other races - Total population - White,2.8227590883398742e-06
Sex and Age - Total population - 21 years and over,2.804418339799632e-06
Sex and Age - Total population - Sex ratio (males per 100 females)_50.0,2.5757794074956506e-06
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_78.3,2.471391285714471e-06
Sex and Age - Total population - Median age (years)_40.3,2.397105708770999e-06
Hispanic or Latino and Race - Total population,2.3710939095002965e-06
Sex and Age - Total population,2.3216964868113715e-06
Sex and Age - Total population - Median age (years)_71.3,2.2922542472568274e-06
Sex and Age - Total population - Sex ratio (males per 100 females)_96.3,2.1379618316926386e-06
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_78.2,2.013708233563064e-06
Sex and Age - Total population - 62 years and over,1.980888044199634e-06
Sex and Age - Total population - Female,1.774368622953275e-06
Sex and Age - Total population - 35 to 44 years,1.7362550225898146e-06
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_79.3,1.6204587000821032e-06
Sex and Age - Total population - Sex ratio (males per 100 females)_85.3,1.6117673326191498e-06
Sex and Age - Total population - Median age (years)_40.9,1.4142385755713877e-06
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_50.0,1.2921808219837577e-06
Race - Total population - One race - American Indian and Alaska Native - Sioux tribal grouping,1.25785066778748e-06
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_97.4,1.19755295308137e-06
Sex and Age - Total population - Median age (years)_45.7,1.188633405962612e-06
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_101.6,1.1731057157079217e-06
Sex and Age - Total population - Sex ratio (males per 100 females)_92.1,1.1216003221115486e-06
Sex and Age - Total population - Median age (years)_57.4,1.1123466340746692e-06
Sex and Age - Total population - Sex ratio (males per 100 females)_-,1.0887021274484176e-06
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_88.2,1.0195523291561553e-06
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_-,8.812610509616626e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_102.1,8.254831454424094e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_113.4,8.217370729231211e-07
Sex and Age - Total population - Median age (years)_49.8,8.108007333136014e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_90.1,7.041330588828494e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_77.4,6.653704569350241e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_129.6,6.470183678041673e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_92.5,6.443138006678355e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_80.5,6.093010521495768e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_91.0,5.816329196492229e-07
Sex and Age - Total population - Median age (years)_-,5.616470441180588e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_50.0,5.614802131425817e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_49.5,5.274287464327659e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_88.5,4.759057782501376e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_525.0,4.7401344014406604e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_91.3,4.7256752013537673e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_139.0,4.524312543103415e-07
Race - Total population - One race - American Indian and Alaska Native - Navajo tribal grouping,4.449491328098442e-07
Sex and Age - Total population - Median age (years)_37.2,4.100862460597191e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_99.0,3.6633292201016867e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_99.8,3.5805793817865106e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_85.4,3.493217670494201e-07
Sex and Age - Total population - Median age (years)_44.8,3.474642369639003e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_83.8,3.3066246916872757e-07
Sex and Age - Total population - Median age (years)_39.0,3.2957728529315934e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_89.6,3.101049574618784e-07
Sex and Age - Total population - Median age (years)_57.0,3.0861539276209077e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_97.1,2.9991180433418687e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_69.6,2.7365776900602435e-07
Sex and Age - Total population - Median age (years)_23.0,2.578688029757997e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_100.5,2.539820908402964e-07
Sex and Age - Total population - Median age (years)_33.5,2.426907359006112e-07
Sex and Age - Total population - Median age (years)_38.6,2.304435866634567e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_96.8,1.993441025008361e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_104.9,1.9358328772202065e-07
Sex and Age - Total population - Median age (years)_44.4,1.9008185792955733e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_73.7,1.8349643914030335e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_88.5,1.809053865653902e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_101.3,1.8062785438148794e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_109.9,1.7942751631281316e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_110.8,1.751438225028014e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_100.3,1.6719956872372976e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_97.3,1.6082370518049356e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_106.4,1.4958632333833943e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_101.6,1.4941614745693817e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_67.4,1.478875827438349e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_98.9,1.3392446040318485e-07
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_105.5,1.2746004952116418e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_109.5,1.2531632937413274e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_99.5,1.2264076184458092e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_97.2,1.1819816948438504e-07
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_54.4,1.1145473397259015e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_73.7,1.0243638842424636e-07
Sex and Age - Total population - Sex ratio (males per 100 females)_86.4,9.824305839877798e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_65.7,9.301503317679044e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_88.4,9.150434627379147e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_90.6,8.988758156285496e-08
Sex and Age - Total population - Median age (years)_20.6,8.81828097882167e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_87.4,8.710680687336965e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_103.9,8.646100780065993e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_99.5,8.119090438423876e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_67.3,7.931073677258875e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_71.5,7.910026947227981e-08
Sex and Age - Total population - Median age (years)_38.3,7.362869136487386e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_89.2,6.677556967319991e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_96.6,6.271121377951082e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_118.4,6.202793753097442e-08
Sex and Age - Total population - Median age (years)_37.7,6.003226733646162e-08
Sex and Age - Total population - Median age (years)_37.4,5.788871652305836e-08
Sex and Age - Total population - Median age (years)_61.2,5.731347988270445e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_61.1,5.1726386911606286e-08
Sex and Age - Total population - Median age (years)_38.0,4.83895502408027e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_98.8,4.4954512565032066e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_100.2,4.4889241992089404e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_74.3,4.4752773451424225e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_86.0,4.4404062863604166e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_91.2,4.2431891585797306e-08
Sex and Age - Total population - Median age (years)_33.6,4.226406721600368e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_52.5,4.2189357626105764e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_-,4.117478898915307e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_77.5,4.0088939987377194e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_73.3,3.951681013107743e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_94.0,3.6003248158843004e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_97.3,3.394445619160328e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_92.2,3.2002459914826654e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_94.5,3.172220357942993e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_84.6,3.008283750038045e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_71.6,2.670085707131242e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_80.2,2.635757670919706e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_75.7,2.496043067123359e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_93.4,2.3594263175130538e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_77.8,2.311610285580504e-08
Sex and Age - Total population - Median age (years)_42.0,2.2554557337027816e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_61.0,2.2208473798453534e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_96.5,2.1863901582256425e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_99.2,2.1532595456272814e-08
Sex and Age - Total population - Median age (years)_40.4,2.0970331530009375e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_95.5,2.056900003321719e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_87.3,1.8069228878952558e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_96.4,1.617274526153257e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_25.8,1.5618559688167634e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_90.2,1.5173027735868725e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_90.8,1.4842631751987047e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_101.5,1.461171311628919e-08
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_94.8,1.4258383019726584e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_92.6,1.419008752564079e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_108.6,1.3691922161616792e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_93.0,1.2833514241314907e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_94.6,1.2167672982430878e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_92.7,1.1915644034089929e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_88.9,1.1657764429211394e-08
Sex and Age - Total population - Sex ratio (males per 100 females)_86.2,1.0869476540926084e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_101.9,1.0392727514218343e-08
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_78.6,9.889640525078003e-09
Sex and Age - Total population - Median age (years)_38.4,9.886014213237834e-09
Sex and Age - Total population - Median age (years)_39.7,9.684015487746907e-09
Sex and Age - Total population - Median age (years)_42.5,7.487459048484724e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_84.9,7.2155027288075006e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_59.7,7.040887011158443e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_79.0,6.8711983641822485e-09
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_96.8,6.8009037627111926e-09
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_85.3,5.953669542188677e-09
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_87.1,5.702679755772054e-09
Sex and Age - Total population - Median age (years)_45.3,5.579381392996081e-09
Sex and Age - Total population - Median age (years)_43.8,4.721811188007873e-09
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_92.8,4.134223238222313e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_60.6,4.089017354739834e-09
Sex and Age - Total population - Sex ratio (males per 100 females)_89.3,4.005499516680117e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_75.4,3.791171770405061e-09
Sex and Age - Total population - Sex ratio (males per 100 females)_91.4,3.5090814677951093e-09
Sex and Age - Total population - Median age (years)_38.2,3.268734122403954e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_94.5,3.2338894539487573e-09
Sex and Age - Total population - Sex ratio (males per 100 females)_95.5,2.9868270599250713e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_147.9,2.9589188267420486e-09
Sex and Age - Total population - Sex ratio (males per 100 females)_101.7,2.914781446897487e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_60.7,2.6537365165528466e-09
Sex and Age - Total population - Median age (years)_39.2,2.6299641685111e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_81.3,2.492851168188169e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_82.2,2.444253553986487e-09
Sex and Age - Total population - Median age (years)_47.2,2.3357101222971233e-09
Sex and Age - Total population - Sex ratio (males per 100 females)_88.1,2.0475032476822085e-09
Sex and Age - Total population - Sex ratio (males per 100 females)_97.0,1.952852093169476e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_77.6,1.8895827893196293e-09
Sex and Age - Total population - Sex ratio (males per 100 females)_99.4,1.8782829510690982e-09
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_104.0,1.8273248933703695e-09
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_101.2,1.6332041935035278e-09
Sex and Age - Total population - Sex ratio (males per 100 females)_87.5,1.5411985119063366e-09
Sex and Age - Total population - Median age (years)_35.7,1.5015463518912344e-09
Sex and Age - Total population - Sex ratio (males per 100 females)_108.8,1.3305520020650733e-09
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_73.2,1.3237053126395724e-09
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_92.1,1.2630106303606328e-09
Sex and Age - Total population - Sex ratio (males per 100 females)_106.5,1.1287261177479255e-09
Sex and Age - Total population - Median age (years)_47.1,1.042104137626316e-09
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_95.3,9.837483529571346e-10
Sex and Age - Total population - Median age (years)_44.1,9.494321981475598e-10
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_71.7,8.994423562319216e-10
Sex and Age - Total population - Median age (years)_33.4,5.111738667230661e-10
Sex and Age - Total population - Median age (years)_51.4,4.770460781312242e-10
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_92.3,4.738964673019003e-10
Sex and Age - Total population - Sex ratio (males per 100 females)_103.1,4.5392913121572446e-10
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_73.8,4.323648882862363e-10
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_88.9,4.22487897453665e-10
