,Feature,success_score,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Coefficient
16,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,0.0033778666312985,0.5506887471081325,0.1711612351487272,0.1968177596836489,0.0457138364725273,-0.130230451788639,0.0004632617209527
17,Sex and Age - Total population - 85 years and over,0.0006334747406712,0.7501077154539054,-0.3845926005685213,-0.3406790003859629,0.0086014349619024,0.0272198099906851,2.6888441230217975e-05
18,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,-0.0066149985086586,0.2090976454156941,-0.1395697550879509,0.0376149918674831,-0.1479459365524829,0.0975150285239776,-0.0011202932352275
19,Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,-0.0100491011592284,0.1306637730556576,-0.0592220481284674,0.046360579968378,-0.1398360419681056,0.101362114455841,0.0086127708651531
20,Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Mexican,-0.0116897065029771,0.3972909754204194,0.1780335387122639,-0.0674363413369067,0.0754245763580387,-0.0677116799725736,-0.0001461510693158
21,Race - Total population - Two or more races - White and American Indian and Alaska Native,-0.0119541377481378,0.5335587948749374,-0.0766342109959771,-0.0063824626343908,-0.0596271015464772,-0.1197995130324798,-0.0025919109478187
22,Sex and Age - Total population - 65 years and over - Male,-0.0187452816855639,0.9217102103520822,-0.2675345336906173,-0.2334470446724822,0.022729019518711,-0.0843105624555408,0.0002821435931033
23,Race - Total population - One race - American Indian and Alaska Native - Sioux tribal grouping,-0.0198455704048011,0.0692694578286548,-0.0639112255482979,0.0794744662473224,-0.109269415891408,-0.0322744301349608,0.0016068486021133
24,Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Cuban,-0.0530406416334783,0.5056788396665322,0.1871958887173473,0.0904424937636669,0.1009317705893806,-0.0080149143689868,0.0005989915454392
25,Race - Total population - One race - American Indian and Alaska Native - Cherokee tribal grouping,-0.0556342904973678,0.2973336898012335,0.2928913777206579,0.1525223939918024,0.1262714946187154,-0.0382908017837276,-0.0015595638713975
26,Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,-0.0643542794860932,0.1931138140257319,0.1714799203491699,0.1809584132268383,0.0823739299817241,0.128796540665065,-0.012937652018637
27,Sex and Age - Total population - 75 to 84 years,-0.0676343283529771,0.8932788224688138,-0.2502748754224516,-0.3095511252632839,0.0190132031082894,0.0183996152860205,0.0001129788316597
28,Sex and Age - Total population - 65 years and over,-0.0692102823035467,0.9375282980767268,-0.2585820664390988,-0.2327573956310357,9.523779762956843e-10,6.0557115218015424e-09,7.222941855525006e-05
29,Sex and Age - Total population - 65 years and over.1,-0.0692102823035467,0.9375282980767268,-0.2585820664390988,-0.2327573956310357,9.523779762956843e-10,6.0557115218015424e-09,7.222941855628774e-05
30,Race - Total population - One race - Asian - Chinese,-0.0802088823428473,0.4154020774063461,0.1996246799356009,0.1873907607960077,0.6216038720426883,0.0782500082613229,-0.0004267503213587
31,Sex and Age - Total population - 65 to 74 years,-0.0854116910497802,0.952420890624152,-0.2101606757376914,-0.148764975939846,-0.0119187005877452,-0.0169132638168733,-6.763785433650438e-05
32,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races,-0.0915425758374489,0.808509101975905,0.1061027829259851,0.2315662196945616,-0.0584557367133942,0.032199230234108,8.216768583792852e-05
33,Sex and Age - Total population - 62 years and over,-0.0917173361088927,0.9518082989969938,-0.2233936263451494,-0.2013569983313025,-0.0116742012386083,-0.0008882274021766,-0.0003547529812105
34,Sex and Age - Total population - 55 to 59 years,-0.0948999437275951,0.9457127007895564,-0.0504587690670147,-0.0198321678478714,-0.028659617954901,-0.1347391555777743,-0.0001225085467562
35,Race - Total population - One race - Native Hawaiian and Other Pacific Islander,-0.0960879642520829,0.3096438196536833,0.1333247514462046,0.0730087596364165,-0.0539248196945712,0.2068580757980142,0.0023376374184281
36,Race - Total population - One race - American Indian and Alaska Native,-0.1017986078163522,0.4355817889058743,0.2937756193641021,0.1953784363826671,0.031381431976124,0.0977859705767414,-0.0008609581897365
37,Sex and Age - Total population - 65 years and over - Female,-0.1049011498001872,0.9344840672897472,-0.248041553355881,-0.2286380671103818,-0.0165592569191659,0.0614245870517296,-0.0002099141745461
38,"Citizen, voting age population - Citizen, 18 and over population - Male",-0.1054058446608455,0.9849240443071844,-0.0085246876136584,0.0888211109317506,-0.0377123596418977,-0.0865017740797795,0.0003170118257546
39,Hispanic or Latino and Race - Total population - Not Hispanic or Latino,-0.1057874145064296,0.9709965437393434,-0.1687953483368059,0.1693335242230058,-1.0202887692796585e-08,-5.397490978003191e-09,-5.998053235072491e-05
40,"Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races",-0.1063254977136936,0.791402828566678,0.0787020840444863,0.2167222269147604,-0.0789753074350943,0.0702240135648317,-0.0003810940351161
41,Sex and Age - Total population - 18 years and over - Male,-0.1151862227038479,0.987831923058326,0.027740435450364,0.0939814943663857,0.0362314638731816,-0.0557635519908868,-0.0001030743735697
42,Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,-0.1211850555192281,0.1821063151496619,0.0539393932530773,-0.147401456737244,-0.1298921604097792,0.2093401786971075,0.0021028104028761
43,Race - Total population - One race - Asian - Vietnamese,-0.1232000218264457,0.4662920722767017,0.2379312879116555,0.0303293925413883,0.4595673836476495,0.1024309518890525,-0.0010259293180691
44,Race - Total population - Two or more races - White and Black or African American,-0.1296662554238656,0.6333515239805476,0.2485203698218947,0.1594180490786598,-0.0601925623734018,0.0343166265898085,-0.0007107147884166
45,"Citizen, voting age population - Citizen, 18 and over population",-0.1339057711166038,0.9896140981014084,-0.0038539971021068,0.0901015025638099,-0.0581935386132206,-0.0308841252391843,2.8744711827864347e-05
46,Sex and Age - Total population - 21 years and over,-0.1362293538908446,0.993290078675191,0.0120546387768349,0.0669479908120861,0.0089318825075765,-0.0141256862100446,8.422670834482046e-05
47,Sex and Age - Total population - 45 to 54 years,-0.1377832973421381,0.9597457555740604,0.038359909600624,0.0321977958867424,-0.0001016661878238,-0.088358186625892,-1.6360966301791146e-06
48,Sex and Age - Total population - 25 to 34 years,-0.1387278305173457,0.8303921684724531,0.1732558338413774,0.2767862278832352,0.0457359252690846,0.0769498363722294,-0.0002410871538648
49,Sex and Age - Total population - 18 years and over,-0.1403518290706555,0.9920603624302884,0.0253755172555797,0.0962144547561311,0.0098886542516016,-0.0063509636143836,0.0001732330386026
50,Sex and Age - Total population - 18 years and over.1,-0.1403518290706555,0.9920603624302884,0.0253755172555797,0.0962144547561311,0.0098886542516016,-0.0063509636143836,0.0001732330386008
51,Sex and Age - Total population - 20 to 24 years,-0.1417216197240758,0.7406884542222306,0.1202673783197574,0.3312745314609325,-0.0228298766848487,0.1021546925420512,-0.000101793006123
52,Sex and Age - Total population - 16 years and over,-0.1440898685469827,0.992868587719636,0.0310879521955675,0.0941562597062986,0.0091678518309771,-0.0103299338916474,0.0001030561513446
53,Sex and Age - Total population - 60 to 64 years,-0.1533686407855404,0.956556754478078,-0.0467741913105139,-0.050382136658123,-0.0526084187684229,-0.0466466693538138,7.164148366364428e-05
54,Sex and Age - Total population - 35 to 44 years,-0.1545327720885047,0.9551946989559912,0.1075739294396263,0.1248173491761914,0.0432338482184564,-0.0575882069450594,-8.453509702287006e-05
55,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,-0.1552818339962944,0.4174276689617242,0.0524866658272231,0.3289958068485185,0.0385849054396137,0.2278998550632502,-0.0012791131168311
56,Hispanic or Latino and Race - Total housing units,-0.1564787627423793,0.9707719240313152,0.0449287373205092,0.1085390663396512,-0.0250004066619633,0.0697802927510308,6.71284759247004e-05
57,"Citizen, voting age population - Citizen, 18 and over population - Female",-0.1582794734406198,0.9865034300631746,0.0003303596125856,0.0905776207676337,-0.0759894100491026,0.0188318904328342,-0.0002882671139471
58,Sex and Age - Total population - 18 years and over - Female,-0.1622483771623827,0.989370463576088,0.0230641892272302,0.0976065075854773,-0.014063387864696,0.0384969204191085,0.0002763074121571
59,Sex and Age - Total population - Male,-0.1634039789933333,0.989238608961225,0.0877472467472636,0.0897553390830643,0.0186284668156405,-0.0368117534411612,2.311727342180636e-05
60,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Some other race alone,-0.1713478384957555,0.4270141751525204,0.1132965778686844,0.0792948114839772,0.06936523532948,0.0733531595227513,0.0010030575736229
61,Race - Total population - One race.1,-0.1720948326626102,0.9941251640429604,0.0552498429927587,0.0891181769010798,0.0019182849015655,0.0015587790543074,-0.0003203493674374
62,Race - Total population - One race,-0.1720948326626102,0.9941251640429604,0.0552498429927587,0.0891181769010798,0.0019182849015655,0.0015587790543074,-0.0003203493674377
63,Race alone or in combination with one or more other races - Total population,-0.175230012561814,0.9927050445648112,0.0811437290565002,0.08917617243518,-7.534739567019014e-09,-4.368342784639997e-09,0.0003430432403925
64,Race - Total population,-0.175230012561814,0.9927050445648112,0.0811437290565002,0.08917617243518,-7.534739567019014e-09,-4.368342784639997e-09,0.0003430432403927
65,Sex and Age - Total population,-0.175230012561814,0.9927050445648112,0.0811437290565003,0.0891761724351801,-7.534739567019014e-09,-4.368342784639976e-09,0.0003430432404911
66,Hispanic or Latino and Race - Total population,-0.175230012561814,0.9927050445648112,0.0811437290565002,0.08917617243518,-7.534739567019014e-09,-4.368342784639997e-09,0.0003430432403925
67,Sex and Age - Total population - Female,-0.1854000362253592,0.9908135615835072,0.0745384311508442,0.0881720992695538,-0.0174486566010217,0.034480290735988,0.0003199259670104
68,Sex and Age - Total population - 15 to 19 years,-0.1883389920032452,0.7811022528832372,0.1985255806855022,0.2186358946751632,0.0043015915295026,-0.0105777624040055,-5.8775725405613865e-06
69,Race - Total population - Two or more races,-0.1913243124796326,0.8103250504491176,0.4371787384963547,0.0754391809972651,-0.0273578529296813,-0.0222306901718143,0.0006633926078344
70,Race - Total population - Two or more races.1,-0.1913243124796326,0.8103250504491176,0.4371787384963547,0.0754391809972651,-0.0273578529296813,-0.0222306901718143,0.0006633926078343
71,Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,-0.1958205542372624,0.6522691780865008,0.3964572302463963,0.1128315032927435,-0.1019902470218869,0.1321132306187602,-0.0001005757395075
72,Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,-0.2653275989925621,0.4198706196147404,0.1859935937750473,0.0850777541578295,-0.2223470272252666,0.2560143299941004,-0.0035258191488459
73,Sex and Age - Total population - 5 to 9 years,-0.2741459449494031,0.9106357804221152,0.2431830647848651,0.1078121527380603,-0.0335239705166625,0.036903053496211,0.0003798155975727
74,Sex and Age - Total population - Under 18 years,-0.276511975479356,0.9325747181939136,0.2555600471693867,0.0609340726426309,-0.0318286147963703,0.0204418104747415,0.0001698102018118
75,Sex and Age - Total population - 10 to 14 years,-0.2782220271799973,0.9109521183536068,0.2358844171454474,0.0256539512380308,-0.0238344555684688,0.0333100672454903,0.0001042406450697
76,Sex and Age - Total population - Under 5 years,-0.2788886051923561,0.9072012624970373,0.2916581971079362,0.0817593360163396,-0.0462509459425016,0.0613570676877888,0.0002725535684616
77,Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Puerto Rican,-0.2818951963230852,0.4408420754959027,0.8216710687513181,-0.2473882355513289,-0.1076154734963738,-0.0162654309917125,0.0001168561738475
78,Race alone or in combination with one or more other races - Total population - Some other race,-0.2882159436709694,0.52033619096539,0.8173440309621524,-0.2017240406973818,-0.0131529332913453,0.0001912711865239,-0.0020438226282714
79,Race - Total population - One race - Some other race,-0.2934572504762759,0.4619140004747574,0.8338457620203641,-0.2316665557444788,-0.0180466695100101,0.0201354122054408,0.0002081298382697
80,Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race),-0.2993327205637579,0.5505000661386292,0.8096432486337973,-0.2035374342027624,4.550437421117614e-09,1.042906983169533e-09,0.0004030237727234
81,Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,-0.3313834540857811,0.5641821512419198,0.7080243332721944,-0.0936723593256975,0.171670779527508,0.0645308186813912,-0.0001666728772398
82,Race - Total population - Two or more races - Black or African American and American Indian and Alaska Native,-0.3628972134107581,0.5179920050792489,0.400068999400278,0.1103442261056668,-0.1326377891326459,0.3617957147116567,-0.0023519503928477
83,Race alone or in combination with one or more other races - Total population - Black or African American,-0.4681982705483911,0.5505114890793961,0.2104755177010554,0.3068447557358016,-0.3262833935002843,0.6712367202797972,-0.0010431399767853
84,Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Black or African American alone,-0.4683385676198001,0.5193559211219421,0.1707548234812535,0.3145922125320186,-0.3368067665066259,0.6990132854139512,0.0006158223811997
85,Race - Total population - One race - Black or African American,-0.4726045205832956,0.5278905347600357,0.1951382832434053,0.3078430585950505,-0.3336218405658939,0.6907020678906793,-0.0009577419283396
