Feature,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
Sex and Age - Total population - 62 years and over,0.9518082989969938,-0.22339362634514945,-0.20135699833130258,-0.011674201238608309,-0.000888227402176624
Sex and Age - Total population - 65 years and over,0.9375282980767268,-0.2585820664390988,-0.23275739563103573,9.523779762956843e-10,6.055711521801542e-09
Sex and Age - Total population - 18 years and over.1,0.9920603624302884,0.02537551725557972,0.09621445475613118,0.009888654251601679,-0.006350963614383651
Sex and Age - Total population - 18 years and over - Male,0.9878319230583259,0.027740435450364073,0.09398149436638573,0.03623146387318166,-0.055763551990886805
Sex and Age - Total population - 18 years and over - Female,0.989370463576088,0.023064189227230282,0.0976065075854773,-0.014063387864696061,0.038496920419108585
Sex and Age - Total population - 65 years and over.1,0.9375282980767268,-0.2585820664390988,-0.23275739563103573,9.523779762956843e-10,6.055711521801542e-09
Sex and Age - Total population - 65 years and over - Male,0.9217102103520822,-0.2675345336906173,-0.2334470446724822,0.022729019518711018,-0.08431056245554089
Sex and Age - Total population - 65 years and over - Female,0.9344840672897471,-0.24804155335588107,-0.2286380671103818,-0.016559256919165904,0.06142458705172965
Race - Total population,0.9927050445648112,0.08114372905650029,0.08917617243518,-7.534739567019014e-09,-4.368342784639997e-09
Race - Total population - One race,0.9941251640429603,0.05524984299275871,0.08911817690107982,0.0019182849015655162,0.001558779054307466
Race - Total population - Two or more races,0.8103250504491176,0.4371787384963547,0.07543918099726513,-0.027357852929681337,-0.022230690171814324
Race - Total population - One race.1,0.9941251640429603,0.05524984299275871,0.08911817690107982,0.0019182849015655162,0.001558779054307466
Race - Total population - One race - White,0.7796894191314631,-0.2728391160798813,-0.07761218139600631,0.1093739511438361,-0.5458629844334993
Race - Total population - One race - Black or African American,0.5278905347600357,0.1951382832434053,0.3078430585950505,-0.33362184056589395,0.6907020678906793
Race - Total population - One race - American Indian and Alaska Native,0.4355817889058743,0.2937756193641021,0.19537843638266714,0.03138143197612404,0.09778597057674143
Race - Total population - One race - American Indian and Alaska Native - Cherokee tribal grouping,0.29733368980123354,0.29289137772065793,0.15252239399180245,0.12627149461871548,-0.03829080178372767
Race - Total population - One race - American Indian and Alaska Native - Chippewa tribal grouping,-0.06239457976692676,0.005147504272178292,-0.007445207400417362,0.03542732906494,0.005471618892214543
Race - Total population - One race - American Indian and Alaska Native - Navajo tribal grouping,0.059720423715138575,0.03651067291339262,0.17651665425323468,0.2050178452060773,0.14685570739702128
Race - Total population - One race - American Indian and Alaska Native - Sioux tribal grouping,0.06926945782865482,-0.06391122554829795,0.07947446624732249,-0.10926941589140803,-0.03227443013496088
Race - Total population - One race - Asian,0.6080290500830534,-0.0020870709168990067,0.1189220347812426,0.7810405125397674,0.07816110713921445
Race - Total population - One race - Asian - Asian Indian,0.43383509395579783,-0.2257994561247353,0.044787198675673684,0.5691338625696302,-0.03152489806986583
Race - Total population - One race - Asian - Chinese,0.4154020774063461,0.19962467993560096,0.1873907607960077,0.6216038720426883,0.07825000826132295
Race - Total population - One race - Asian - Filipino,0.5424062129653036,0.0654264460770254,0.0677496270444878,0.4020167195186806,-0.048842039239258735
Race - Total population - One race - Asian - Japanese,0.2445760596309574,-0.20243839669040029,0.15755518861360712,0.10482980763273049,-0.08565445579774421
Race - Total population - One race - Asian - Korean,0.33146270730356586,-0.26049901778171586,-0.04269474263983881,0.3200238691378535,0.0066735799100493595
Race - Total population - One race - Asian - Vietnamese,0.4662920722767017,0.23793128791165552,0.030329392541388316,0.4595673836476495,0.10243095188905255
Race - Total population - One race - Asian - Other Asian,0.43832154226938247,0.03456690637305526,0.06760079993827182,0.6003575852082143,0.18814186963169505
Race - Total population - One race - Native Hawaiian and Other Pacific Islander,0.30964381965368337,0.1333247514462046,0.07300875963641654,-0.05392481969457124,0.20685807579801427
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,0.18210631514966194,0.05393939325307739,-0.14740145673724406,-0.12989216040977922,0.2093401786971075
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Chamorro,0.1619525239058844,0.02656387884412203,0.18530091815880428,0.04260477299068724,-0.10421588401794392
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,0.13066377305565768,-0.05922204812846745,0.046360579968378085,-0.13983604196810562,0.10136211445584109
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,0.19311381402573197,0.17147992034916998,0.1809584132268383,0.0823739299817241,0.12879654066506502
Race - Total population - One race - Some other race,0.4619140004747574,0.8338457620203641,-0.2316665557444788,-0.018046669510010126,0.020135412205440864
Race - Total population - Two or more races.1,0.8103250504491176,0.4371787384963547,0.07543918099726513,-0.027357852929681337,-0.022230690171814324
Race - Total population - Two or more races - White and Black or African American,0.6333515239805476,0.24852036982189477,0.15941804907865986,-0.0601925623734018,0.0343166265898085
Race - Total population - Two or more races - White and American Indian and Alaska Native,0.5335587948749374,-0.07663421099597714,-0.0063824626343908395,-0.059627101546477296,-0.11979951303247983
Race - Total population - Two or more races - White and Asian,0.551808263278004,-0.10608676184020963,-0.019383713763817444,0.17613483061636964,-0.2084468520017441
Race - Total population - Two or more races - Black or African American and American Indian and Alaska Native,0.5179920050792489,0.400068999400278,0.11034422610566687,-0.13263778913264598,0.3617957147116567
Race alone or in combination with one or more other races - Total population,0.9927050445648112,0.08114372905650029,0.08917617243518,-7.534739567019014e-09,-4.368342784639997e-09
Race alone or in combination with one or more other races - Total population - White,0.8056788455391368,-0.22701114488836738,-0.07210169989198548,0.10350456669959902,-0.5307990980639411
Race alone or in combination with one or more other races - Total population - Black or African American,0.5505114890793961,0.21047551770105544,0.3068447557358016,-0.32628339350028435,0.6712367202797972
Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,0.6522691780865008,0.39645723024639634,0.11283150329274358,-0.10199024702188693,0.13211323061876026
Race alone or in combination with one or more other races - Total population - Asian,0.6431261279417141,-0.009304576022327638,0.12982565342385016,0.7475818073545157,0.07209166935996568
Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,0.4198706196147404,0.18599359377504732,0.08507775415782956,-0.22234702722526664,0.25601432999410045
Race alone or in combination with one or more other races - Total population - Some other race,0.52033619096539,0.8173440309621524,-0.20172404069738184,-0.01315293329134533,0.00019127118652394754
Hispanic or Latino and Race - Total population,0.9927050445648112,0.08114372905650029,0.08917617243518,-7.534739567019014e-09,-4.368342784639997e-09
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race),0.5505000661386292,0.8096432486337973,-0.20353743420276244,4.550437421117614e-09,1.0429069831695332e-09
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Mexican,0.39729097542041947,0.17803353871226393,-0.0674363413369067,0.07542457635803872,-0.06771167997257366
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Puerto Rican,0.4408420754959027,0.8216710687513181,-0.24738823555132897,-0.10761547349637382,-0.01626543099171256
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Cuban,0.5056788396665322,0.18719588871734738,0.09044249376366698,0.10093177058938069,-0.008014914368986822
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,0.5641821512419198,0.7080243332721944,-0.09367235932569755,0.171670779527508,0.0645308186813912
Hispanic or Latino and Race - Total population - Not Hispanic or Latino,0.9709965437393434,-0.16879534833680598,0.16933352422300588,-1.0202887692796583e-08,-5.397490978003191e-09
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - White alone,0.7310279536374503,-0.3677604670246068,-0.05527619875149432,0.10629307380637901,-0.5611180283995832
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Black or African American alone,0.5193559211219421,0.1707548234812535,0.31459221253201863,-0.3368067665066259,0.6990132854139512
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,0.4174276689617242,0.05248666582722313,0.3289958068485185,0.03858490543961375,0.22789985506325022
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Asian alone,0.6076235998581543,-0.0014011894038632997,0.1184741074524136,0.781574287508073,0.07660494391108724
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,0.2090976454156941,-0.1395697550879509,0.03761499186748314,-0.1479459365524829,0.09751502852397761
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Some other race alone,0.4270141751525204,0.1132965778686844,0.07929481148397725,0.06936523532948,0.07335315952275133
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races,0.808509101975905,0.10610278292598513,0.23156621969456162,-0.058455736713394206,0.03219923023410802
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,0.5506887471081325,0.17116123514872725,0.19681775968364892,0.04571383647252733,-0.13023045178863904
"Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races",0.791402828566678,0.07870208404448635,0.21672222691476045,-0.0789753074350943,0.07022401356483171
Hispanic or Latino and Race - Total housing units,0.9707719240313153,0.04492873732050923,0.10853906633965127,-0.025000406661963313,0.0697802927510308
"Citizen, voting age population - Citizen, 18 and over population",0.9896140981014085,-0.003853997102106866,0.09010150256380996,-0.05819353861322061,-0.030884125239184337
"Citizen, voting age population - Citizen, 18 and over population - Male",0.9849240443071845,-0.008524687613658485,0.08882111093175064,-0.037712359641897716,-0.08650177407977953
"Citizen, voting age population - Citizen, 18 and over population - Female",0.9865034300631746,0.00033035961258563387,0.09057762076763372,-0.07598941004910269,0.01883189043283423
