Feature,Importance
Income and benefits - Total households - With Social Security - Mean Social Security income (dollars),0.0
Income and benefits - Total households - With earnings - Mean earnings (dollars),0.0
Income and benefits - Total households - Mean household income (dollars),0.0
Income and benefits - Total households - With retirement income - Mean retirement income (dollars),0.0
Income and benefits - Total households - Median household income (dollars),0.0
Income and benefits - Families - Median family income (dollars),0.0
Income and benefits - Families - Mean family income (dollars),0.0
Income and benefits - Median earnings for workers (dollars),0.0
"Income and benefits - Median earnings for male full-time, year-round workers (dollars)",0.0
Income and benefits - Total households - With Supplemental Security Income - Mean Supplemental Security Income (dollars),6.589443346971535e-07
Employment Status - Population 16 years and over - In labor force - Civilian labor force - Employed,1.5631985330166743e-06
Income and benefits - Total households - With cash public assistance income - Mean cash public assistance income (dollars),2.2117645841923663e-06
Industry - Civilian employed population 16 years and over - Public administration,2.5343241090491907e-06
Employment Status - Females 16 years and over,4.064501293699063e-06
Employment Status - Own children of the householder 6 to 17 years,1.2727163988923706e-05
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed,1.964274903969443e-05
"Occupation - Civilian employed population 16 years and over - Management, business, science, and arts occupations",2.704119857027676e-05
Commuting to Work - Workers 16 years and over,2.9229684792941855e-05
Employment Status - Females 16 years and over - In labor force - Civilian labor force,2.9618284779842076e-05
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force,4.235947088578884e-05
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage,4.9107845139728656e-05
Employment Status - Population 16 years and over - In labor force - Armed Forces,5.402525186162244e-05
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage - With private health insurance,6.06312906612283e-05
Industry - Civilian employed population 16 years and over,6.143597836164583e-05
Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage,7.240238783713382e-05
"Commuting to Work - Workers 16 years and over - Car, truck, or van -- carpooled",7.965834364687119e-05
"Industry - Civilian employed population 16 years and over - Other services, except public administration",8.643185312083857e-05
"Income and benefits - Total households - $75,000 to $99,999",8.673177233131657e-05
"Income and benefits - Total households - $100,000 to $149,999",9.149245642127157e-05
CLass of worker - Civilian employed population 16 years and over,9.95321660905435e-05
"Income and benefits - Total households - $150,000 to $199,999",0.0001166725797051682
Employment Status - Population 16 years and over - In labor force - Civilian labor force,0.00012725968826144963
Income and benefits - Total households - With retirement income,0.00015498808371405826
"Income and benefits - Total households - $35,000 to $49,999",0.00016104775236834844
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage - With private health insurance,0.0001673421143595033
Occupation - Civilian employed population 16 years and over - Sales and office occupations,0.00017227459384718812
Income and benefits - Total households - With Social Security,0.00018576472520949184
Income and benefits - Total households - With earnings,0.00018584649744251002
Occupation - Civilian employed population 16 years and over,0.00019202736517848207
Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage - With private health insurance,0.00021586372679349708
Income and benefits - Nonfamily households,0.00024675887192016077
"Income and benefits - Families - $10,000 to $14,999",0.0003043655823256497
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - No health insurance coverage,0.00036798077769698565
Health Insurance Coverage - Civilian noninstitutionalized population under 19 years - No health insurance coverage,0.0004651541311641694
"Occupation - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations",0.0005040159201854522
Industry - Civilian employed population 16 years and over - Wholesale trade,0.0005565643735572668
"Income and benefits - Families - $200,000 or more",0.0005619595190300197
"Income and benefits - Families - $150,000 to $199,999",0.0006226675383262159
Industry - Civilian employed population 16 years and over - Manufacturing,0.000765266620454308
"Income and benefits - Total households - $200,000 or more",0.0008968916575584296
Commuting to Work - Workers 16 years and over - Worked from home,0.0014256185443369373
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage - With public coverage,0.0017360975316827454
"Industry - Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services",0.001753197051046096
Industry - Civilian employed population 16 years and over - Information,0.0018019400153705956
Employment Status - Civilian labor force,0.0021251265218110715
Income and benefits - Nonfamily households - Median nonfamily income (dollars),0.002735920353172028
"Industry - Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing",0.002980342886229015
CLass of worker - Civilian employed population 16 years and over - Unpaid family workers,0.002980665691667761
Commuting to Work - Workers 16 years and over - Other means,0.005335442627370646
Employment Status - Population 16 years and over - In labor force - Civilian labor force - Unemployed,0.0062859524780849
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed,0.007205847230861162
"Income and benefits - Total households - $10,000 to $14,999",0.007559514561594238
Commuting to Work - Workers 16 years and over - Walked,0.02178001676775023
Income and benefits - Total households - With Food Stamp/SNAP benefits in the past 12 months,0.20525554864665074
